STATE/UT,YEAR,TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Arunachal Pradesh,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Road Accidents,9,21,29,47,36,37,36,14,21,29,47,36,362
Arunachal Pradesh,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Road Accidents,6,9,32,47,39,45,30,9,9,32,47,39,344
Arunachal Pradesh,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Road Accidents,5,12,29,46,44,49,38,14,12,29,46,44,368
Arunachal Pradesh,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Road Accidents,16,19,32,44,40,43,33,16,19,32,44,40,378
Arunachal Pradesh,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Road Accidents,20,23,24,40,37,45,25,16,23,24,40,37,354
Arunachal Pradesh,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Road Accidents,21,15,17,44,58,50,41,15,15,17,44,58,395
Arunachal Pradesh,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Road Accidents,21,15,17,44,58,50,41,15,15,17,44,58,395
Arunachal Pradesh,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Road Accidents,8,16,38,48,50,68,35,17,16,38,48,50,432
Arunachal Pradesh,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2011,Road Accidents,12,12,36,46,52,55,39,11,12,36,46,52,409
Arunachal Pradesh,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2011,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2012,Road Accidents,4,17,22,41,34,51,23,12,17,22,41,34,318
Arunachal Pradesh,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2012,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Road Accidents,133,150,259,346,300,285,234,99,150,259,346,300,2861
Assam,2001,Rail-Road Accidents,5,5,4,2,3,4,4,3,5,4,2,3,44
Assam,2001,Other Railway Accidents,15,23,43,37,24,26,23,22,23,43,37,24,340
Assam,2002,Road Accidents,167,240,322,411,335,339,272,157,240,322,411,335,3551
Assam,2002,Rail-Road Accidents,3,3,4,0,0,0,0,0,3,4,0,0,17
Assam,2002,Other Railway Accidents,14,32,60,66,43,37,40,30,32,60,66,43,523
Assam,2003,Road Accidents,129,219,295,434,330,364,247,127,219,295,434,330,3423
Assam,2003,Rail-Road Accidents,0,4,0,1,0,2,1,2,4,0,1,0,15
Assam,2003,Other Railway Accidents,29,33,61,61,43,36,46,36,33,61,61,43,543
Assam,2004,Road Accidents,101,170,287,457,340,339,204,104,170,287,457,340,3256
Assam,2004,Rail-Road Accidents,2,7,2,7,2,1,2,4,7,2,7,2,45
Assam,2004,Other Railway Accidents,1,82,85,8,30,2,93,71,82,85,8,30,577
Assam,2005,Road Accidents,172,282,584,731,664,668,365,190,282,584,731,664,5917
Assam,2005,Rail-Road Accidents,16,6,2,2,1,5,8,7,6,2,2,1,58
Assam,2005,Other Railway Accidents,24,45,50,34,45,34,51,35,45,50,34,45,492
Assam,2006,Road Accidents,159,275,679,916,753,799,313,186,275,679,916,753,6703
Assam,2006,Rail-Road Accidents,11,11,17,17,9,5,12,8,11,17,17,9,144
Assam,2006,Other Railway Accidents,20,59,87,81,56,57,55,35,59,87,81,56,733
Assam,2007,Road Accidents,195,230,690,941,752,610,362,215,230,690,941,752,6608
Assam,2007,Rail-Road Accidents,4,3,5,12,6,7,4,1,3,5,12,6,68
Assam,2007,Other Railway Accidents,11,48,24,49,39,26,35,15,48,24,49,39,407
Assam,2008,Road Accidents,220,259,777,915,747,780,369,195,259,777,915,747,6960
Assam,2008,Rail-Road Accidents,3,2,8,2,3,0,5,0,2,8,2,3,38
Assam,2008,Other Railway Accidents,38,41,55,73,28,21,20,27,41,55,73,28,500
Assam,2009,Road Accidents,165,218,667,1039,912,961,437,186,218,667,1039,912,7421
Assam,2009,Rail-Road Accidents,4,7,8,24,7,9,13,19,7,8,24,7,137
Assam,2009,Other Railway Accidents,45,42,73,58,61,48,49,49,42,73,58,61,659
Assam,2010,Road Accidents,231,255,898,1313,972,1058,480,278,255,898,1313,972,8923
Assam,2010,Rail-Road Accidents,1,3,3,5,10,1,4,0,3,3,5,10,48
Assam,2010,Other Railway Accidents,28,43,79,71,64,67,57,32,43,79,71,64,698
Assam,2011,Road Accidents,275,216,1110,1494,1166,1118,762,428,216,1110,1494,1166,10555
Assam,2011,Rail-Road Accidents,1,0,8,6,4,4,4,2,0,8,6,4,47
Assam,2011,Other Railway Accidents,35,53,49,52,80,77,76,60,53,49,52,80,716
Assam,2012,Road Accidents,176,206,955,1357,1260,1219,905,457,206,955,1357,1260,10313
Assam,2012,Rail-Road Accidents,1,3,9,4,3,4,3,2,3,9,4,3,48
Assam,2012,Other Railway Accidents,26,54,89,80,63,71,70,47,54,89,80,63,786
Bihar,2001,Road Accidents,344,541,618,690,552,625,503,461,541,618,690,552,6735
Bihar,2001,Rail-Road Accidents,20,34,29,32,41,30,28,27,34,29,32,41,377
Bihar,2001,Other Railway Accidents,38,70,122,60,50,47,108,74,70,122,60,50,871
Bihar,2002,Road Accidents,297,395,710,777,718,637,495,343,395,710,777,718,6972
Bihar,2002,Rail-Road Accidents,17,18,39,48,47,43,29,32,18,39,48,47,425
Bihar,2002,Other Railway Accidents,91,88,72,81,76,48,51,93,88,72,81,76,917
Bihar,2003,Road Accidents,374,423,531,664,580,567,477,286,423,531,664,580,6100
Bihar,2003,Rail-Road Accidents,0,1,0,0,0,0,0,0,1,0,0,0,2
Bihar,2003,Other Railway Accidents,118,121,94,107,107,65,78,113,121,94,107,107,1232
Bihar,2004,Road Accidents,286,494,466,638,689,537,436,344,494,466,638,689,6177
Bihar,2004,Rail-Road Accidents,6,5,19,26,20,19,12,4,5,19,26,20,181
Bihar,2004,Other Railway Accidents,100,103,102,111,94,86,59,97,103,102,111,94,1162
Bihar,2005,Road Accidents,233,435,643,632,644,540,419,200,435,643,632,644,6100
Bihar,2005,Rail-Road Accidents,6,17,30,45,28,26,21,16,17,30,45,28,309
Bihar,2005,Other Railway Accidents,111,127,98,110,91,68,54,107,127,98,110,91,1192
Bihar,2006,Road Accidents,263,524,661,745,709,610,500,370,524,661,745,709,7021
Bihar,2006,Rail-Road Accidents,9,16,40,35,33,29,14,11,16,40,35,33,311
Bihar,2006,Other Railway Accidents,114,81,219,198,163,173,152,130,81,219,198,163,1891
Bihar,2007,Road Accidents,356,739,868,866,838,918,664,382,739,868,866,838,8942
Bihar,2007,Rail-Road Accidents,0,2,0,2,1,1,0,0,2,0,2,1,11
Bihar,2007,Other Railway Accidents,130,157,147,146,177,228,143,191,157,147,146,177,1946
Bihar,2008,Road Accidents,361,907,928,1006,845,1002,702,429,907,928,1006,845,9866
Bihar,2008,Rail-Road Accidents,0,1,1,3,0,0,0,2,1,1,3,0,12
Bihar,2008,Other Railway Accidents,56,188,262,219,130,152,126,64,188,262,219,130,1996
Bihar,2009,Road Accidents,703,1052,1232,1215,1007,1335,1126,696,1052,1232,1215,1007,12872
Bihar,2009,Rail-Road Accidents,0,0,0,10,0,22,16,0,0,0,10,0,58
Bihar,2009,Other Railway Accidents,43,170,148,258,172,160,161,22,170,148,258,172,1882
Bihar,2010,Road Accidents,720,923,1037,1267,1210,1288,1168,828,923,1037,1267,1210,12878
Bihar,2010,Rail-Road Accidents,2,8,8,5,9,1,2,8,8,8,5,9,73
Bihar,2010,Other Railway Accidents,105,238,372,189,126,71,52,71,238,372,189,126,2149
Bihar,2011,Road Accidents,690,903,1167,1512,1511,1492,1240,840,903,1167,1512,1511,14448
Bihar,2011,Rail-Road Accidents,3,1,0,2,1,0,1,2,1,0,2,1,14
Bihar,2011,Other Railway Accidents,175,314,436,273,208,152,124,149,314,436,273,208,3062
Bihar,2012,Road Accidents,666,763,1733,1725,1653,1569,1269,942,763,1733,1725,1653,16194
Bihar,2012,Rail-Road Accidents,25,35,31,22,20,26,55,50,35,31,22,20,372
Bihar,2012,Other Railway Accidents,164,157,264,248,178,121,168,66,157,264,248,178,2213
Chhattisgarh,2001,Road Accidents,279,353,632,1026,762,859,684,392,353,632,1026,762,7760
Chhattisgarh,2001,Rail-Road Accidents,1,0,0,2,0,1,2,2,0,0,2,0,10
Chhattisgarh,2001,Other Railway Accidents,21,29,36,41,43,33,35,32,29,36,41,43,419
Chhattisgarh,2002,Road Accidents,384,528,847,813,892,927,794,616,528,847,813,892,8881
Chhattisgarh,2002,Rail-Road Accidents,0,1,0,2,0,0,1,0,1,0,2,0,7
Chhattisgarh,2002,Other Railway Accidents,25,47,68,66,49,40,31,40,47,68,66,49,596
Chhattisgarh,2003,Road Accidents,611,732,859,1099,959,929,938,896,732,859,1099,959,10672
Chhattisgarh,2003,Rail-Road Accidents,5,2,14,9,6,9,6,2,2,14,9,6,84
Chhattisgarh,2003,Other Railway Accidents,31,39,71,58,50,56,46,35,39,71,58,50,604
Chhattisgarh,2004,Road Accidents,359,431,719,1165,868,910,818,805,431,719,1165,868,9258
Chhattisgarh,2004,Rail-Road Accidents,1,12,21,20,14,11,13,26,12,21,20,14,185
Chhattisgarh,2004,Other Railway Accidents,16,36,54,59,49,40,39,37,36,54,59,49,528
Chhattisgarh,2005,Road Accidents,445,712,782,1016,920,805,716,600,712,782,1016,920,9426
Chhattisgarh,2005,Rail-Road Accidents,2,10,9,9,7,10,9,11,10,9,9,7,102
Chhattisgarh,2005,Other Railway Accidents,42,51,73,47,46,46,51,60,51,73,47,46,633
Chhattisgarh,2006,Road Accidents,531,570,918,1229,1197,1069,958,639,570,918,1229,1197,11025
Chhattisgarh,2006,Rail-Road Accidents,3,3,7,7,7,4,4,4,3,7,7,7,63
Chhattisgarh,2006,Other Railway Accidents,25,61,74,73,68,53,54,54,61,74,73,68,738
Chhattisgarh,2007,Road Accidents,498,846,1081,1230,1210,1173,990,809,846,1081,1230,1210,12204
Chhattisgarh,2007,Rail-Road Accidents,0,2,3,2,1,3,3,1,2,3,2,1,23
Chhattisgarh,2007,Other Railway Accidents,35,51,79,80,66,55,68,59,51,79,80,66,769
Chhattisgarh,2008,Road Accidents,594,957,1199,1452,1414,1141,1133,879,957,1199,1452,1414,13791
Chhattisgarh,2008,Rail-Road Accidents,0,0,8,5,4,0,6,3,0,8,5,4,43
Chhattisgarh,2008,Other Railway Accidents,41,63,87,79,64,55,60,54,63,87,79,64,796
Chhattisgarh,2009,Road Accidents,414,692,998,1408,1219,1165,1193,824,692,998,1408,1219,12230
Chhattisgarh,2009,Rail-Road Accidents,3,9,9,14,18,14,14,8,9,9,14,18,139
Chhattisgarh,2009,Other Railway Accidents,23,52,81,108,54,52,45,44,52,81,108,54,754
Chhattisgarh,2010,Road Accidents,579,756,1007,1417,1254,1095,1034,660,756,1007,1417,1254,12236
Chhattisgarh,2010,Rail-Road Accidents,55,70,90,84,80,87,81,70,70,90,84,80,941
Chhattisgarh,2010,Other Railway Accidents,43,76,97,101,70,65,54,57,76,97,101,70,907
Chhattisgarh,2011,Road Accidents,572,814,1275,1514,1493,1385,1293,849,814,1275,1514,1493,14291
Chhattisgarh,2011,Rail-Road Accidents,7,17,21,19,14,10,20,10,17,21,19,14,189
Chhattisgarh,2011,Other Railway Accidents,38,47,96,104,68,76,77,78,47,96,104,68,899
Chhattisgarh,2012,Road Accidents,1159,1415,1708,1885,1936,1886,1995,1527,1415,1708,1885,1936,20455
Chhattisgarh,2012,Rail-Road Accidents,3,9,5,8,5,2,3,8,9,5,8,5,70
Chhattisgarh,2012,Other Railway Accidents,26,74,80,81,60,68,76,44,74,80,81,60,804
Goa,2001,Road Accidents,52,33,152,248,233,299,229,129,33,152,248,233,2041
Goa,2001,Rail-Road Accidents,0,0,1,0,0,0,1,1,0,1,0,0,4
Goa,2001,Other Railway Accidents,1,2,8,3,1,3,1,3,2,8,3,1,36
Goa,2002,Road Accidents,57,44,147,204,173,209,239,128,44,147,204,173,1769
Goa,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2002,Other Railway Accidents,0,1,12,8,7,6,2,2,1,12,8,7,66
Goa,2003,Road Accidents,81,38,144,284,306,345,323,157,38,144,284,306,2450
Goa,2003,Rail-Road Accidents,0,0,2,4,5,5,0,2,0,2,4,5,29
Goa,2003,Other Railway Accidents,0,1,2,4,3,1,2,0,1,2,4,3,23
Goa,2004,Road Accidents,74,33,161,220,274,263,248,269,33,161,220,274,2230
Goa,2004,Rail-Road Accidents,0,0,4,1,0,1,1,2,0,4,1,0,14
Goa,2004,Other Railway Accidents,0,4,8,4,6,4,0,0,4,8,4,6,48
Goa,2005,Road Accidents,56,38,110,165,187,208,191,114,38,110,165,187,1569
Goa,2005,Rail-Road Accidents,0,0,1,1,0,0,0,0,0,1,1,0,4
Goa,2005,Other Railway Accidents,0,0,6,1,1,2,1,1,0,6,1,1,20
Goa,2006,Road Accidents,200,138,335,559,702,712,692,411,138,335,559,702,5483
Goa,2006,Rail-Road Accidents,0,1,3,1,0,1,1,0,1,3,1,0,12
Goa,2006,Other Railway Accidents,2,5,5,2,2,4,3,5,5,5,2,2,42
Goa,2007,Road Accidents,212,117,407,599,719,798,755,415,117,407,599,719,5864
Goa,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2007,Other Railway Accidents,1,4,6,6,4,3,2,1,4,6,6,4,47
Goa,2008,Road Accidents,194,139,378,618,772,828,760,490,139,378,618,772,6086
Goa,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2008,Other Railway Accidents,3,1,7,6,3,5,3,2,1,7,6,3,47
Goa,2009,Road Accidents,200,132,410,635,740,837,756,460,132,410,635,740,6087
Goa,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2009,Other Railway Accidents,3,3,3,7,7,4,7,6,3,3,7,7,60
Goa,2010,Road Accidents,195,164,443,736,848,873,876,439,164,443,736,848,6765
Goa,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2010,Other Railway Accidents,4,5,15,12,4,6,8,1,5,15,12,4,91
Goa,2011,Road Accidents,261,178,431,749,783,901,812,446,178,431,749,783,6702
Goa,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2011,Other Railway Accidents,1,5,9,6,5,9,4,3,5,9,6,5,67
Goa,2012,Road Accidents,208,155,424,666,807,799,775,454,155,424,666,807,6340
Goa,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2012,Other Railway Accidents,7,1,17,15,14,8,11,1,1,17,15,14,121
Gujarat,2001,Road Accidents,1267,1338,2316,3263,3119,3163,3161,2181,1338,2316,3263,3119,29844
Gujarat,2001,Rail-Road Accidents,1,2,1,1,5,5,6,3,2,1,1,5,33
Gujarat,2001,Other Railway Accidents,85,73,177,189,156,144,156,123,73,177,189,156,1698
Gujarat,2002,Road Accidents,1106,1120,2239,3150,2968,3030,2985,2142,1120,2239,3150,2968,28217
Gujarat,2002,Rail-Road Accidents,1,2,6,7,3,7,1,0,2,6,7,3,45
Gujarat,2002,Other Railway Accidents,89,107,240,204,159,157,161,134,107,240,204,159,1961
Gujarat,2003,Road Accidents,1070,1238,2170,3094,2733,2881,2998,1918,1238,2170,3094,2733,27337
Gujarat,2003,Rail-Road Accidents,4,4,12,10,11,11,10,6,4,12,10,11,105
Gujarat,2003,Other Railway Accidents,86,90,221,184,162,152,200,139,90,221,184,162,1891
Gujarat,2004,Road Accidents,1152,1339,2109,2895,2856,3079,2994,2054,1339,2109,2895,2856,27677
Gujarat,2004,Rail-Road Accidents,9,7,8,12,8,6,10,9,7,8,12,8,104
Gujarat,2004,Other Railway Accidents,88,74,182,176,118,132,159,119,74,182,176,118,1598
Gujarat,2005,Road Accidents,1428,1324,2091,2860,2917,2846,2928,2147,1324,2091,2860,2917,27733
Gujarat,2005,Rail-Road Accidents,0,7,6,5,3,5,6,2,7,6,5,3,55
Gujarat,2005,Other Railway Accidents,72,84,205,184,130,165,153,137,84,205,184,130,1733
Gujarat,2006,Road Accidents,1277,1533,2216,2837,2968,2960,3029,2124,1533,2216,2837,2968,28498
Gujarat,2006,Rail-Road Accidents,4,3,8,4,2,6,4,5,3,8,4,2,53
Gujarat,2006,Other Railway Accidents,86,69,206,159,153,137,152,155,69,206,159,153,1704
Gujarat,2007,Road Accidents,1468,2013,2503,3085,3009,3419,3319,2617,2013,2503,3085,3009,32043
Gujarat,2007,Rail-Road Accidents,7,9,12,6,6,8,8,7,9,12,6,6,96
Gujarat,2007,Other Railway Accidents,85,80,230,159,131,150,208,153,80,230,159,131,1796
Gujarat,2008,Road Accidents,1432,1631,2535,3263,3169,3323,3449,2225,1631,2535,3263,3169,31625
Gujarat,2008,Rail-Road Accidents,15,15,7,10,6,10,7,14,15,7,10,6,122
Gujarat,2008,Other Railway Accidents,79,92,152,177,132,138,203,174,92,152,177,132,1700
Gujarat,2009,Road Accidents,1239,1640,2545,3110,2918,3282,3255,2112,1640,2545,3110,2918,30314
Gujarat,2009,Rail-Road Accidents,7,8,16,5,8,6,6,8,8,16,5,8,101
Gujarat,2009,Other Railway Accidents,83,79,162,146,133,135,169,119,79,162,146,133,1546
Gujarat,2010,Road Accidents,1348,1670,2507,3232,2968,3267,3341,2165,1670,2507,3232,2968,30875
Gujarat,2010,Rail-Road Accidents,11,8,3,4,13,14,9,7,8,3,4,13,97
Gujarat,2010,Other Railway Accidents,98,89,164,140,134,114,158,114,89,164,140,134,1538
Gujarat,2011,Road Accidents,1962,2282,3571,4941,4595,4751,4767,3330,2282,3571,4941,4595,45588
Gujarat,2011,Rail-Road Accidents,4,1,7,4,6,6,11,3,1,7,4,6,60
Gujarat,2011,Other Railway Accidents,87,98,184,139,122,120,177,143,98,184,139,122,1613
Gujarat,2012,Road Accidents,2085,2603,3286,4190,3802,4045,4403,2853,2603,3286,4190,3802,41148
Gujarat,2012,Rail-Road Accidents,2,9,9,6,5,9,8,8,9,9,6,5,85
Gujarat,2012,Other Railway Accidents,102,94,179,163,108,126,173,123,94,179,163,108,1612
Haryana,2001,Road Accidents,407,625,1003,1015,894,882,832,715,625,1003,1015,894,9910
Haryana,2001,Rail-Road Accidents,1,2,2,2,0,0,0,0,2,2,2,0,13
Haryana,2001,Other Railway Accidents,100,277,288,299,40,180,19,28,277,288,299,40,2135
Haryana,2002,Road Accidents,615,740,1070,1004,877,992,1006,783,740,1070,1004,877,10778
Haryana,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,Road Accidents,709,910,793,888,823,837,826,638,910,793,888,823,9838
Haryana,2003,Rail-Road Accidents,0,0,3,2,2,0,2,2,0,3,2,2,18
Haryana,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2004,Road Accidents,845,1014,1042,1069,998,989,1070,881,1014,1042,1069,998,12031
Haryana,2004,Rail-Road Accidents,1,2,3,3,0,5,3,1,2,3,3,0,26
Haryana,2004,Other Railway Accidents,108,284,293,306,47,187,32,36,284,293,306,47,2223
Haryana,2005,Road Accidents,760,859,1020,962,898,1065,1165,953,859,1020,962,898,11421
Haryana,2005,Rail-Road Accidents,1,1,3,3,1,4,3,1,1,3,3,1,25
Haryana,2005,Other Railway Accidents,116,293,303,316,54,199,43,42,293,303,316,54,2332
Haryana,2006,Road Accidents,1155,1112,1277,1191,1114,1317,1760,1336,1112,1277,1191,1114,14956
Haryana,2006,Rail-Road Accidents,1,2,2,3,2,1,2,1,2,2,3,2,23
Haryana,2006,Other Railway Accidents,177,330,331,350,58,201,40,39,330,331,350,58,2595
Haryana,2007,Road Accidents,1080,1033,1313,1312,1267,1407,1767,1137,1033,1313,1312,1267,15241
Haryana,2007,Rail-Road Accidents,1,2,2,1,2,1,2,2,2,2,1,2,20
Haryana,2007,Other Railway Accidents,141,183,186,280,58,165,40,39,183,186,280,58,1799
Haryana,2008,Road Accidents,1089,1236,1367,1374,1380,1622,1911,1262,1236,1367,1374,1380,16598
Haryana,2008,Rail-Road Accidents,4,3,2,4,5,1,4,2,3,2,4,5,39
Haryana,2008,Other Railway Accidents,136,140,145,130,132,135,130,133,140,145,130,132,1628
Haryana,2009,Road Accidents,860,1184,1488,1580,1526,1670,1870,1249,1184,1488,1580,1526,17205
Haryana,2009,Rail-Road Accidents,3,2,2,2,1,2,1,1,2,2,2,1,21
Haryana,2009,Other Railway Accidents,140,150,153,134,141,139,136,138,150,153,134,141,1709
Haryana,2010,Road Accidents,799,1105,1617,1517,1481,1715,1756,1171,1105,1617,1517,1481,16881
Haryana,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2010,Other Railway Accidents,149,155,159,145,145,151,144,147,155,159,145,145,1799
Haryana,2011,Road Accidents,685,1049,1319,1302,1364,1720,1811,1303,1049,1319,1302,1364,15587
Haryana,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2011,Other Railway Accidents,191,162,141,142,130,138,164,184,162,141,142,130,1827
Haryana,2012,Road Accidents,578,941,1263,1268,1350,1613,1802,1156,941,1263,1268,1350,14793
Haryana,2012,Rail-Road Accidents,0,1,1,3,3,2,3,2,1,1,3,3,23
Haryana,2012,Other Railway Accidents,177,167,162,155,171,160,127,145,167,162,155,171,1919
Himachal Pradesh,2001,Road Accidents,75,145,207,271,252,362,446,352,145,207,271,252,2985
Himachal Pradesh,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Other Railway Accidents,0,1,2,3,1,2,1,0,1,2,3,1,17
